Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen49perm14 1641.8804599337374839 3.03785596e+00 1.10826070e-02 4.88881583e-02 2.54620885e-02 2.45794254e+02 8.62641750e-02
gen49perm13 1644.4677717332190241 2.91645982e+00 1.09687172e-02 4.79415619e-02 2.14167896e-02 2.52166614e+02 8.66555645e-02
gen48perm26 1644.4680706292101604 2.91645982e+00 1.10826070e-02 4.79415619e-02 2.54620885e-02 2.45794254e+02 8.66555645e-02
gen49perm24 1644.7189984663443738 2.95269227e+00 1.09312156e-02 4.79415619e-02 2.28162758e-02 2.45794254e+02 8.66555645e-02
gen48perm36 1644.8950656234485450 2.95269227e+00 1.09312156e-02 4.77033611e-02 2.28162758e-02 2.45794254e+02 8.62641750e-02
gen46perm50 1645.2058543303978695 2.87745799e+00 1.12754352e-02 4.79415619e-02 2.19276935e-02 2.45794254e+02 8.66555645e-02
gen49perm9 1645.2084788156942068 2.87745799e+00 1.12754352e-02 4.79415619e-02 2.21797151e-02 2.27729445e+02 8.66555645e-02
gen49perm34 1645.2217837973532824 2.88335185e+00 1.09312156e-02 4.77033611e-02 2.13242525e-02 2.34654413e+02 8.62641750e-02
gen49perm17 1645.3661713265844355 2.87745799e+00 9.99360757e-03 4.77033611e-02 2.36874174e-02 2.57887861e+02 8.64245224e-02
gen48perm14 1645.3995632528644819 2.87745799e+00 1.04820758e-02 4.77033611e-02 2.12676120e-02 2.73027727e+02 8.62641750e-02
gen49perm28 1645.4000931511347972 2.87745799e+00 1.22814087e-02 4.77033611e-02 1.89028622e-02 2.70288734e+02 8.62641750e-02
gen49perm27 1645.4023242213918365 2.87745799e+00 1.09312156e-02 4.77033611e-02 2.54031429e-02 2.50507791e+02 8.62641750e-02
gen48perm43 1645.4023497523705828 2.87745799e+00 1.12754352e-02 4.77033611e-02 1.89028622e-02 2.50507791e+02 8.62641750e-02
gen49perm50 1645.4024537405571209 2.87745799e+00 1.19781692e-02 4.77033611e-02 2.36874174e-02 2.50507791e+02 8.62641750e-02
gen47perm4 1645.4026736402565803 2.87745799e+00 1.37390849e-02 4.77033611e-02 2.04476348e-02 2.50507791e+02 8.62641750e-02
gen49perm36 1645.4026736466726106 2.87745799e+00 1.37390849e-02 4.77033611e-02 2.04476348e-02 2.50507791e+02 8.62641750e-02
gen47perm41 1645.4029521576844672 2.87745799e+00 1.09312156e-02 4.77033611e-02 2.34688244e-02 2.45794254e+02 8.62641750e-02
gen49perm23 1645.4029698217384521 2.87745799e+00 1.12754352e-02 4.77033611e-02 2.19276935e-02 2.45794254e+02 8.62641750e-02
gen49perm31 1645.4034096361638149 2.87745799e+00 1.16744553e-02 4.77033611e-02 2.04476348e-02 2.43118007e+02 8.62641750e-02
gen48perm1 1645.4034492587418299 2.87745799e+00 1.19781692e-02 4.77033611e-02 2.04476348e-02 2.43118007e+02 8.62641750e-02
gen49perm25 1646.0036346521244468 2.87745799e+00 1.12754352e-02 4.79351055e-02 2.08958301e-02 2.72470984e+02 8.62641750e-02
gen49perm11 1646.0391640053271658 2.87745799e+00 1.12754352e-02 4.79415619e-02 1.89028622e-02 2.50507791e+02 8.62641750e-02
gen47perm15 1646.0880029242521232 2.87745799e+00 1.10826070e-02 4.74101333e-02 2.12676120e-02 2.73027727e+02 8.62641750e-02
gen49perm37 1646.0880344969134512 2.87745799e+00 1.12754352e-02 4.74101333e-02 2.13242525e-02 2.73027727e+02 8.62641750e-02
gen47perm12 1646.0880344969134512 2.87745799e+00 1.12754352e-02 4.74101333e-02 2.13242525e-02 2.73027727e+02 8.62641750e-02
gen49perm42 1646.0880860523091087 2.87745799e+00 1.18113789e-02 4.74101333e-02 2.04381670e-02 2.73027727e+02 8.62641750e-02
gen48perm16 1646.0883369908049190 2.87745799e+00 1.37390849e-02 4.74101333e-02 2.12676120e-02 2.73027727e+02 8.62641750e-02
gen47perm27 1646.0931291672079624 2.85377318e+00 1.09312156e-02 4.77033611e-02 2.28162758e-02 2.45794254e+02 8.64245224e-02
gen49perm8 1646.0936861336722359 2.85377318e+00 1.19781692e-02 4.77033611e-02 2.04476348e-02 2.43118007e+02 8.64245224e-02
gen48perm44 1646.1489707874070518 2.86434625e+00 1.37390849e-02 4.74101333e-02 2.13242525e-02 2.73027727e+02 8.62641750e-02
gen49perm4 1646.1490533599887840 2.86434625e+00 1.44607443e-02 4.74101333e-02 2.13242525e-02 2.73027727e+02 8.62641750e-02
gen49perm7 1646.2087950042830471 2.87745799e+00 1.00066335e-02 4.77033611e-02 2.28162758e-02 2.45794254e+02 8.68692900e-02
gen49perm30 1646.2935738576954918 2.90154826e+00 1.04820758e-02 4.74101333e-02 2.13242525e-02 2.73027727e+02 8.62641750e-02
gen49perm49 1646.4750511714742061 2.87745799e+00 1.37390849e-02 4.73433024e-02 2.04476348e-02 2.43118007e+02 8.62641750e-02
gen46perm33 1646.4750672565951390 2.87745799e+00 1.37390849e-02 4.73433024e-02 2.36874174e-02 2.50507791e+02 8.62641750e-02
gen49perm29 1646.5091200252943509 2.86434625e+00 1.37390849e-02 4.74101333e-02 2.13242525e-02 2.59686588e+02 8.64245224e-02
gen48perm13 1646.5828508162105663 2.84052821e+00 1.10826070e-02 4.74101333e-02 2.14167896e-02 2.39171670e+02 8.62641750e-02
gen48perm22 1646.5937194846533203 2.87745799e+00 9.99360757e-03 4.74101333e-02 2.36874174e-02 2.50507791e+02 8.64245224e-02
gen49perm19 1646.5941063471502730 2.87745799e+00 1.10826070e-02 4.74101333e-02 2.12676120e-02 2.73027727e+02 8.64245224e-02
gen48perm35 1646.5941282847675211 2.87745799e+00 1.12754352e-02 4.74101333e-02 2.17777982e-02 2.73027727e+02 8.64245224e-02
gen48perm33 1646.6730845573436000 2.84052821e+00 1.04637799e-02 4.74101333e-02 2.53909837e-02 2.45794254e+02 8.64245224e-02
gen49perm18 1646.6731505210389059 2.84052821e+00 1.09312156e-02 4.74101333e-02 2.14167896e-02 2.45794254e+02 8.64245224e-02
gen49perm39 1646.6735025767700336 2.84052821e+00 1.37390849e-02 4.74101333e-02 2.53909837e-02 2.45794254e+02 8.64245224e-02
gen47perm25 1646.6801132195148512 2.84052821e+00 1.04820758e-02 4.77033611e-02 2.13242525e-02 2.45794254e+02 8.64245224e-02
gen49perm35 1646.6801722511822845 2.84052821e+00 1.09312156e-02 4.77033611e-02 2.14167896e-02 2.45794254e+02 8.64245224e-02
gen45perm1 1646.6801756634695266 2.84052821e+00 1.09312156e-02 4.77033611e-02 2.14167896e-02 2.45794254e+02 8.64245224e-02
gen48perm3 1647.0649388296390043 2.90154826e+00 1.04820758e-02 4.74101333e-02 2.13242525e-02 2.59686588e+02 8.64245224e-02
gen49perm33 1647.0659858694809827 2.90154826e+00 1.04820758e-02 4.74101333e-02 2.34688244e-02 2.77212902e+02 8.64245224e-02
gen48perm6 1647.1044760595266325 2.87745799e+00 1.10826070e-02 4.73433024e-02 2.24730001e-02 2.73027727e+02 8.64245224e-02
gen46perm11 1647.1286808506536090 2.84052821e+00 1.04820758e-02 4.77033611e-02 2.14167896e-02 2.45794254e+02 8.62641750e-02
