Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen8perm45 1997.6770681833447725 5.57966510e+00 2.78722099e+01 1.24400785e-03 5.92300559e+02 9.79970836e-02 3.89698736e-03
gen8perm41 2002.2116432481084303 6.11510967e+00 1.19340077e-02 1.22864309e-03 2.50074856e+00 4.76805223e-02 3.84060462e-03
gen8perm28 2011.0849621551769815 6.11510967e+00 1.19340077e-02 1.22864309e-03 2.65952531e+00 7.42410298e-02 3.84060462e-03
gen8perm11 2015.3088927410417455 6.11510967e+00 4.42704064e+01 1.28047558e-03 5.70544009e+01 7.42410298e-02 3.75731408e-03
gen8perm14 2016.1608283424968704 6.11510967e+00 4.25219512e+01 1.20400042e-03 5.92300559e+02 5.45482122e-02 3.84060462e-03
gen8perm1 2017.3290508467200652 6.11510967e+00 1.01011135e+02 1.20400042e-03 5.46236224e-02 4.81593618e-02 3.83446832e-03
gen8perm49 2018.2374908860613232 6.11510967e+00 9.70453092e+01 1.20400042e-03 5.46236224e-02 4.81593618e-02 3.84060462e-03
gen8perm37 2021.2910343207609003 6.11510967e+00 1.33756185e+02 1.20400042e-03 6.59541420e+02 4.64598583e-02 3.84060462e-03
gen8perm30 2026.6002243767723030 6.11510967e+00 1.26821612e+02 1.20400042e-03 3.67953554e-02 4.72190047e-02 3.70768050e-03
gen8perm25 2033.0749275645557645 6.11510967e+00 9.61195114e+01 1.20400042e-03 5.09392761e-01 7.42410298e-02 3.84060462e-03
gen8perm36 2036.4442854532808269 6.11510967e+00 9.88146867e+01 1.20400042e-03 5.17320565e-02 4.81593618e-02 3.67062088e-03
gen8perm46 2037.5573486148880420 6.11510967e+00 1.26821612e+02 1.26915122e-03 2.38960147e+00 2.36447094e+00 3.84060462e-03
gen8perm8 2044.9446749413200450 6.11510967e+00 1.26821612e+02 1.20400042e-03 5.46236224e-02 9.39170951e-02 3.84060462e-03
gen8perm44 2046.0849879275731382 6.11510967e+00 1.01995954e+02 1.20400042e-03 5.46236224e-02 1.04942536e-01 3.84060462e-03
gen8perm43 2046.7060910318346032 6.01740629e+00 3.85250549e+02 1.20400042e-03 2.38960147e+00 5.06680196e-02 3.84060462e-03
gen8perm10 2051.4524675755428689 6.07242872e+00 4.42516317e+02 1.20400042e-03 5.43059550e-02 4.81593618e-02 3.79624696e-03
gen8perm26 2052.0422750674456438 6.47493688e+00 4.42704064e+01 1.20400042e-03 5.49184898e+02 4.81593618e-02 3.84060462e-03
gen8perm39 2078.0396254056890939 6.11510967e+00 3.85250549e+02 1.20400042e-03 2.38960147e+00 1.04942536e-01 3.84060462e-03
gen8perm38 2078.0421666600227582 6.11510967e+00 3.85250549e+02 1.20400042e-03 6.06771089e+02 1.04942536e-01 3.84060462e-03
