Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen4perm17 1775.8095721417878394 1.52685855e+00 1.19340077e-02 3.82551071e-02 2.50074856e+00 2.11534619e+02 8.91109450e-02
gen9perm23 1775.8097667934018773 1.52685855e+00 1.19340077e-02 3.82551071e-02 2.38982046e-02 2.11534619e+02 8.91109450e-02
gen6perm19 1775.8097667934018773 1.52685855e+00 1.19340077e-02 3.82551071e-02 2.38982046e-02 2.11534619e+02 8.91109450e-02
gen9perm24 1957.2568606761656156 1.52685855e+00 1.19340077e-02 3.76169449e-02 2.46851584e+00 2.11534619e+02 9.72474489e-02
gen9perm18 1996.5601746872391686 5.66215951e+00 1.19340077e-02 1.22864309e-03 2.50074856e+00 9.39170951e-02 3.84060462e-03
gen8perm45 1997.6770681833447725 5.57966510e+00 2.78722099e+01 1.24400785e-03 5.92300559e+02 9.79970836e-02 3.89698736e-03
gen9perm12 2000.0459335653570179 6.11510967e+00 1.19340077e-02 1.19008219e-03 2.63365735e+00 7.79395327e-02 3.69279058e-03
gen8perm41 2002.2116432481084303 6.11510967e+00 1.19340077e-02 1.22864309e-03 2.50074856e+00 4.76805223e-02 3.84060462e-03
gen9perm22 2006.5447873786743003 5.57966510e+00 9.61195114e+01 1.24400785e-03 5.09392761e-01 8.08533859e-02 3.89698736e-03
gen9perm46 2007.4350223035594354 6.19299117e+00 4.42704064e+01 1.20400042e-03 5.49184898e+02 4.81593618e-02 3.73556877e-03
gen9perm7 2009.7757846739191336 6.11510967e+00 1.24357390e-02 1.12829072e-03 2.65952531e+00 7.42410298e-02 3.70768050e-03
gen9perm47 2010.5446364273923336 5.77778712e+00 4.42704064e+01 1.28047558e-03 5.70544009e+01 2.30760057e+02 3.75731408e-03
gen8perm28 2011.0849621551769815 6.11510967e+00 1.19340077e-02 1.22864309e-03 2.65952531e+00 7.42410298e-02 3.84060462e-03
gen9perm11 2014.3686008974782453 6.11510967e+00 1.28448017e+02 1.31620190e-03 2.16085475e+00 8.95638112e-02 3.84060462e-03
gen8perm11 2015.3088927410417455 6.11510967e+00 4.42704064e+01 1.28047558e-03 5.70544009e+01 7.42410298e-02 3.75731408e-03
gen7perm20 2015.3343721418741552 6.43154575e+00 9.42822749e+01 1.28826798e-03 5.09392761e-01 4.81593618e-02 3.84060462e-03
gen9perm13 2015.8188538081356000 6.43154575e+00 9.83585525e+01 1.28826798e-03 5.43059550e-02 4.81593618e-02 3.84060462e-03
gen7perm6 2016.0117099649312422 6.43154575e+00 9.88146867e+01 1.20400042e-03 5.92300559e+02 4.81593618e-02 3.67062088e-03
gen8perm14 2016.1608283424968704 6.11510967e+00 4.25219512e+01 1.20400042e-03 5.92300559e+02 5.45482122e-02 3.84060462e-03
gen6perm30 2016.1608283784385094 6.11510967e+00 4.25219512e+01 1.20400042e-03 5.92300559e+02 5.45482122e-02 3.84060462e-03
gen9perm20 2017.0810912080742128 6.11510967e+00 9.87438059e+01 1.20400042e-03 5.14343634e-02 4.81593618e-02 3.83446832e-03
gen8perm1 2017.3290508467200652 6.11510967e+00 1.01011135e+02 1.20400042e-03 5.46236224e-02 4.81593618e-02 3.83446832e-03
gen8perm49 2018.2374908860613232 6.11510967e+00 9.70453092e+01 1.20400042e-03 5.46236224e-02 4.81593618e-02 3.84060462e-03
gen6perm23 2018.3819295057683121 6.11510967e+00 9.83585525e+01 1.20400042e-03 5.43059550e-02 4.81593618e-02 3.84060462e-03
gen6perm10 2020.2679666846722739 6.11510967e+00 1.01995954e+02 1.20400042e-03 5.46236224e-02 5.06680196e-02 3.84060462e-03
gen8perm37 2021.2910343207609003 6.11510967e+00 1.33756185e+02 1.20400042e-03 6.59541420e+02 4.64598583e-02 3.84060462e-03
gen7perm13 2021.2910364714673506 6.11510967e+00 1.33756185e+02 1.20400042e-03 6.06771089e+02 4.64598583e-02 3.84060462e-03
gen9perm31 2022.8091018471398002 6.11510967e+00 1.07949238e+02 1.20400042e-03 5.17320565e-02 4.81593618e-02 3.85379734e-03
gen8perm30 2026.6002243767723030 6.11510967e+00 1.26821612e+02 1.20400042e-03 3.67953554e-02 4.72190047e-02 3.70768050e-03
gen6perm35 2027.5018235255240597 6.11510967e+00 4.42704064e+01 1.20400042e-03 5.49184898e+02 7.42410298e-02 3.84060462e-03
gen8perm25 2033.0749275645557645 6.11510967e+00 9.61195114e+01 1.20400042e-03 5.09392761e-01 7.42410298e-02 3.84060462e-03
gen9perm39 2033.8332150664177789 5.77632376e+00 1.26821612e+02 1.26915122e-03 2.38960147e+00 2.25639906e+00 3.70768050e-03
gen9perm19 2034.7884675021664407 6.11510967e+00 9.83585525e+01 1.16592615e-03 5.46236224e-02 4.81593618e-02 3.84060462e-03
gen6perm18 2034.9253872075817071 6.43154575e+00 9.88146867e+01 1.12829072e-03 5.32786165e-02 4.81593618e-02 3.70768050e-03
gen9perm21 2035.8668132776419952 6.11510967e+00 2.78722099e+01 1.20400042e-03 5.92300559e+02 9.79970836e-02 3.84060462e-03
gen8perm36 2036.4442854532808269 6.11510967e+00 9.88146867e+01 1.20400042e-03 5.17320565e-02 4.81593618e-02 3.67062088e-03
gen8perm46 2037.5573486148880420 6.11510967e+00 1.26821612e+02 1.26915122e-03 2.38960147e+00 2.36447094e+00 3.84060462e-03
gen8perm8 2044.9446749413200450 6.11510967e+00 1.26821612e+02 1.20400042e-03 5.46236224e-02 9.39170951e-02 3.84060462e-03
gen8perm44 2046.0849879275731382 6.11510967e+00 1.01995954e+02 1.20400042e-03 5.46236224e-02 1.04942536e-01 3.84060462e-03
gen6perm3 2046.4617457607064352 6.11510967e+00 1.26821612e+02 1.20400042e-03 2.38960147e+00 9.79970836e-02 3.84060462e-03
gen8perm43 2046.7060910318346032 6.01740629e+00 3.85250549e+02 1.20400042e-03 2.38960147e+00 5.06680196e-02 3.84060462e-03
gen6perm31 2047.0061956927211213 6.11510967e+00 3.51822882e+02 1.20400042e-03 5.92300559e+02 4.76805223e-02 3.84060462e-03
gen7perm9 2047.2757827283351162 6.11510967e+00 2.78722099e+01 1.28230074e-03 5.92300559e+02 2.36447094e+00 3.89698736e-03
gen9perm43 2048.7935548310060767 6.43154575e+00 3.85250549e+02 1.28826798e-03 5.09392761e-01 4.81593618e-02 3.84060462e-03
gen7perm44 2049.2606614680294115 6.11510967e+00 3.68521691e+02 1.20400042e-03 5.92300559e+02 4.81593618e-02 3.84060462e-03
gen3perm15 2049.3693964828871685 6.11510967e+00 3.51822882e+02 1.20400042e-03 5.92300559e+02 5.17369080e-02 3.84060462e-03
gen9perm35 2051.1322011896086224 6.43154575e+00 9.42822749e+01 1.20400042e-03 5.46236224e-02 4.81593618e-02 3.84060462e-03
gen6perm28 2051.1505263670669592 6.43154575e+00 9.42822749e+01 1.20400042e-03 5.09392761e-01 4.81593618e-02 3.84060462e-03
gen3perm2 2051.4280075768683673 6.43154575e+00 9.70453092e+01 1.20400042e-03 5.46236224e-02 4.81593618e-02 3.84060462e-03
gen8perm10 2051.4524675755428689 6.07242872e+00 4.42516317e+02 1.20400042e-03 5.43059550e-02 4.81593618e-02 3.79624696e-03
