Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen21perm28 1716.4585739936817390 1.95905872e+00 1.19340077e-02 4.05904960e-02 2.78577191e+00 1.79503307e+02 8.74650364e-02
gen22perm34 1716.4633357567472558 1.95905872e+00 1.12874198e-02 4.05904960e-02 2.35144081e-02 2.11534619e+02 8.74650364e-02
gen22perm20 1717.5170368586177574 1.86525339e+00 1.19340077e-02 4.05904960e-02 2.15974289e-02 2.35047980e+02 8.74650364e-02
gen21perm40 1717.5292189133929242 1.86525339e+00 1.12874198e-02 4.05904960e-02 2.15974289e-02 2.11534619e+02 8.74650364e-02
gen22perm30 1718.3683544562661609 1.82374036e+00 1.37368553e-02 4.18753790e-02 2.68237571e+00 2.43853847e+02 9.07227096e-02
gen22perm15 1723.9598264131329870 1.83754823e+00 1.18675282e-02 4.05904960e-02 2.52092947e+00 2.00872348e+02 8.91109450e-02
gen22perm46 1724.2543665857313044 1.81360121e+00 1.18675282e-02 4.05904960e-02 2.68237571e+00 2.11534619e+02 8.91109450e-02
gen22perm25 1724.2566607115236366 1.81360121e+00 1.17282877e-02 4.05904960e-02 2.18548782e-02 2.05168096e+02 8.91109450e-02
gen21perm46 1724.2607842798531692 1.81360121e+00 1.17282877e-02 4.05904960e-02 2.68237571e+00 1.94209130e+02 8.91109450e-02
gen22perm9 1724.4747210091950365 1.80905459e+00 1.19340077e-02 4.05904960e-02 2.48533962e+00 2.11534619e+02 8.91109450e-02
gen22perm26 1724.9382837388047847 1.80190414e+00 1.24563133e-02 4.05904960e-02 2.68237571e+00 1.94209130e+02 8.91109450e-02
gen22perm42 1724.9581639365630963 1.80152035e+00 1.21517708e-02 4.05904960e-02 2.48501241e+00 2.11534619e+02 8.91109450e-02
gen21perm3 1724.9582216993956081 1.80152035e+00 1.19340077e-02 4.05904960e-02 2.18548782e-02 2.11534619e+02 8.91109450e-02
gen22perm7 1725.5816741759558681 2.02064172e+00 1.10778109e-02 4.05904960e-02 2.54167103e+00 2.18143322e+02 8.74650364e-02
gen22perm32 1725.8196686997396228 1.87049387e+00 1.17282877e-02 4.05904960e-02 2.18548782e-02 2.05485803e+02 8.91109450e-02
gen20perm11 1725.9595672838629525 1.79015689e+00 1.19340077e-02 4.05904960e-02 2.68952148e+00 2.35047980e+02 8.91109450e-02
gen21perm2 1725.9596950802274478 1.79015689e+00 1.30276120e-02 4.05904960e-02 2.68952148e+00 2.35047980e+02 8.91109450e-02
gen21perm42 1725.9598894013604422 1.79015689e+00 1.19340077e-02 4.05904960e-02 2.68952148e+00 2.34259191e+02 8.91109450e-02
gen22perm28 1725.9669687182106372 1.79015689e+00 1.11752566e-02 4.05904960e-02 2.56262276e+00 2.19108913e+02 8.91109450e-02
gen19perm27 1725.9669693128023482 1.79015689e+00 1.13223484e-02 4.05904960e-02 2.56262276e+00 2.19108913e+02 8.91109450e-02
gen21perm23 1725.9672295322745867 1.79015689e+00 1.18675282e-02 4.05904960e-02 2.18548782e-02 2.18949064e+02 8.91109450e-02
gen21perm39 1725.9706645947057950 1.79015689e+00 1.18675282e-02 4.05904960e-02 2.56262276e+00 2.12172082e+02 8.91109450e-02
gen22perm41 1725.9709094216982521 1.79015689e+00 1.04036315e-02 4.05904960e-02 2.18548782e-02 2.11534619e+02 8.91109450e-02
gen21perm33 1725.9709315861016421 1.79015689e+00 1.13223484e-02 4.05904960e-02 2.48533962e+00 2.11534619e+02 8.91109450e-02
gen22perm6 1725.9709372287870792 1.79015689e+00 1.13223484e-02 4.05904960e-02 2.56262276e+00 2.11534619e+02 8.91109450e-02
gen21perm35 1725.9709372287870792 1.79015689e+00 1.13223484e-02 4.05904960e-02 2.56262276e+00 2.11534619e+02 8.91109450e-02
gen22perm18 1725.9710054911670341 1.79015689e+00 1.19340077e-02 4.05904960e-02 2.48533962e+00 2.11534619e+02 8.91109450e-02
gen21perm25 1725.9710054911670341 1.79015689e+00 1.19340077e-02 4.05904960e-02 2.48533962e+00 2.11534619e+02 8.91109450e-02
gen20perm5 1725.9710054911670341 1.79015689e+00 1.19340077e-02 4.05904960e-02 2.48533962e+00 2.11534619e+02 8.91109450e-02
gen19perm4 1725.9710055068626389 1.79015689e+00 1.19340077e-02 4.05904960e-02 2.48533962e+00 2.11534619e+02 8.91109450e-02
gen21perm27 1725.9710094713789204 1.79015689e+00 1.19340077e-02 4.05904960e-02 2.52092947e+00 2.11534619e+02 8.91109450e-02
gen21perm29 1725.9710098827322327 1.79015689e+00 1.18675282e-02 4.05904960e-02 2.56262276e+00 2.11534619e+02 8.91109450e-02
gen21perm43 1725.9710228904191354 1.79015689e+00 1.13223484e-02 4.05904960e-02 2.18548782e-02 2.11534619e+02 8.91109450e-02
gen19perm38 1725.9711018703594618 1.79015689e+00 1.18675282e-02 4.05904960e-02 2.18548782e-02 2.11534619e+02 8.91109450e-02
gen21perm5 1725.9711105132605553 1.79015689e+00 1.19340077e-02 4.05904960e-02 2.18548782e-02 2.11534619e+02 8.91109450e-02
gen21perm20 1725.9711105132605553 1.79015689e+00 1.19340077e-02 4.05904960e-02 2.18548782e-02 2.11534619e+02 8.91109450e-02
gen22perm2 1725.9711742564236374 1.79015689e+00 1.24563133e-02 4.05904960e-02 2.18548782e-02 2.11534619e+02 8.91109450e-02
gen18perm43 1725.9711742564236374 1.79015689e+00 1.24563133e-02 4.05904960e-02 2.18548782e-02 2.11534619e+02 8.91109450e-02
gen22perm48 1725.9781353334149117 1.79015689e+00 1.18675282e-02 4.05904960e-02 2.18548782e-02 1.99261883e+02 8.91109450e-02
gen22perm11 1725.9812194683506732 1.79015689e+00 1.18675282e-02 4.05904960e-02 2.56262276e+00 1.94209130e+02 8.91109450e-02
gen21perm24 1725.9812194683506732 1.79015689e+00 1.18675282e-02 4.05904960e-02 2.56262276e+00 1.94209130e+02 8.91109450e-02
gen20perm38 1725.9812194683506732 1.79015689e+00 1.18675282e-02 4.05904960e-02 2.56262276e+00 1.94209130e+02 8.91109450e-02
gen19perm17 1725.9813450082731379 1.79015689e+00 1.19340077e-02 4.05904960e-02 2.18548782e-02 1.94209130e+02 8.91109450e-02
gen22perm31 1725.9815788538523975 1.79015689e+00 1.19340077e-02 4.05904960e-02 2.68237571e+00 1.93649899e+02 8.91109450e-02
gen22perm45 1725.9873926509167177 1.79015689e+00 1.17282877e-02 4.05904960e-02 2.18548782e-02 1.85114184e+02 8.91109450e-02
gen22perm8 1725.9915624338582347 1.79015689e+00 1.26387163e-02 4.05904960e-02 2.56262276e+00 1.79503307e+02 8.91109450e-02
gen21perm19 1726.1291801286986356 1.79015689e+00 1.13223484e-02 4.05904960e-02 2.48533962e+00 2.09566444e+02 8.92521832e-02
gen20perm12 1726.1292747118827720 1.79015689e+00 1.13223484e-02 4.05904960e-02 2.18548782e-02 2.09566444e+02 8.92521832e-02
gen21perm9 1726.2637672218500029 1.79015689e+00 1.46200335e-02 4.05904960e-02 2.68237571e+00 2.52993404e+02 8.93348144e-02
gen21perm32 1726.8725486342987097 1.79015689e+00 1.24563133e-02 4.05904960e-02 2.22582531e-02 1.85412425e+02 8.95463206e-02
